Trait,Metric,Method,Score,Score SE
Eczema,LRT,LDSC,2502.664249375375,0.0
Eczema,LRT,S-LDSC,1376.8584481696598,0.0
Eczema,LRT,LD2MAF,2458.3576763795572,0.0
Eczema,LRT,S-LD2MAF,1528.7766935743275,0.0
Eczema,LRT,LD2,7577.378451283905,0.0
Eczema,LRT,S-LD2,5266.703622298664,0.0
BMI,hg2,LDSC,0.24897065506252564,0.007332502396021914
BMI,hg2,S-LDSC,0.2792954991069207,0.007402423405668839
BMI,hg2,LD2MAF,0.25055189973891917,0.007268915660941831
BMI,hg2,S-LD2MAF,0.27677572691477886,0.007208860527584638
BMI,hg2,LD2,0.27449240385410545,0.007179426092911715
BMI,hg2,S-LD2,0.27194935883516314,0.006951222718929898
BMI,Intercept,LDSC,1.1730881792712,0.018914527431589778
BMI,Intercept,S-LDSC,1.1321751700164655,0.01792135877680275
BMI,Intercept,LD2MAF,1.1681385777018445,0.01843558476198765
BMI,Intercept,S-LD2MAF,1.1490578923398331,0.01727559875804504
BMI,Intercept,LD2,1.228585017224954,0.01606349751736584
BMI,Intercept,S-LD2,1.1704306474915491,0.01680187740947449
BMI,Ratio,LDSC,0.08671404556360131,0.009475835960738926
BMI,Ratio,S-LDSC,0.06621736830004081,0.0089782764373436
BMI,Ratio,LD2MAF,0.08419101900858242,0.009231139506146827
BMI,Ratio,S-LD2MAF,0.07463686215792496,0.00865030668929738
BMI,Ratio,LD2,0.11909415072530045,0.008369177550364018
BMI,Ratio,S-LD2,0.08879537892281991,0.008753877856757148
BMI,LRT,LDSC,17576.924543408328,0.0
BMI,LRT,S-LDSC,14119.984182652668,0.0
BMI,LRT,LD2MAF,17254.730846353283,0.0
BMI,LRT,S-LD2MAF,15662.259022688377,0.0
BMI,LRT,LD2,64569.797313665855,0.0
BMI,LRT,S-LD2,51728.508461580146,0.0
Balding Type I,hg2,LDSC,0.18946035749641552,0.018816184194074482
Balding Type I,hg2,S-LDSC,0.22203560096241792,0.01865320871537173
Balding Type I,hg2,LD2MAF,0.19403591403512416,0.017816949516889367
Balding Type I,hg2,S-LD2MAF,0.22429232708363878,0.01777680558764515
Balding Type I,hg2,LD2,0.22695684319552697,0.017915315922159957
Balding Type I,hg2,S-LD2,0.21701268295353018,0.016588394150862728
Balding Type I,Intercept,LDSC,1.1795663250994644,0.028930442793705106
Balding Type I,Intercept,S-LDSC,1.0998565081891611,0.022629476936552394
Balding Type I,Intercept,LD2MAF,1.1697313037358807,0.02748743187629167
Balding Type I,Intercept,S-LD2MAF,1.1013009412348875,0.021520494882868408
Balding Type I,Intercept,LD2,1.1726777797483525,0.02167133641788793
Balding Type I,Intercept,S-LD2,1.1147340330819762,0.018815389994094142
Balding Type I,Ratio,LDSC,0.26130312886444057,0.04209929237701708
Balding Type I,Ratio,S-LDSC,0.14531019673567552,0.032930189582102636
Balding Type I,Ratio,LD2MAF,0.24747555355982356,0.04007785994567364
Balding Type I,Ratio,S-LD2MAF,0.1477011367758399,0.03137780872941796
Balding Type I,Ratio,LD2,0.2685572879016047,0.033704367418163926
Balding Type I,Ratio,S-LD2,0.1784402185354279,0.02926265391522167
Balding Type I,LRT,LDSC,5832.711806380306,0.0
Balding Type I,LRT,S-LDSC,3776.152406468813,0.0
Balding Type I,LRT,LD2MAF,5618.10533296084,0.0
Balding Type I,LRT,S-LD2MAF,3825.6989367313217,0.0
Balding Type I,LRT,LD2,16880.762778748758,0.0
Balding Type I,LRT,S-LD2,12603.892691429588,0.0
Height,hg2,LDSC,0.5849062858540955,0.02969081152858367
Height,hg2,S-LDSC,0.6753072146503093,0.025440071709886145
Height,hg2,LD2MAF,0.591452573562702,0.0293341743106207
Height,hg2,S-LD2MAF,0.6741196916771529,0.02516934646674872
Height,hg2,LD2,0.6877315465946076,0.03189930371469084
Height,hg2,S-LD2,0.6949844612216746,0.026014794112823224
Height,Intercept,LDSC,1.6244504093369274,0.09012376819523735
Height,Intercept,S-LDSC,1.4571014835384402,0.060363928604451327
Height,Intercept,LD2MAF,1.593398109265043,0.08553593221322556
Height,Intercept,S-LD2MAF,1.4578857720250293,0.05931691440490911
Height,Intercept,LD2,1.66298395971013,0.058110202421697225
Height,Intercept,S-LD2,1.4596491570086403,0.04020412776274708
Height,Ratio,LDSC,0.12003086360749339,0.017323447252637063
Height,Ratio,S-LDSC,0.08786331949665172,0.01160305826178741
Height,Ratio,LD2MAF,0.11409077046729223,0.01644572211551513
Height,Ratio,S-LD2MAF,0.08803624362917058,0.011404674805217108
Height,Ratio,LD2,0.12945676593009048,0.011346818822502039
Height,Ratio,S-LD2,0.08975284010618842,0.007850410678836031
Height,LRT,LDSC,118628.93058704224,0.0
Height,LRT,S-LDSC,98754.53468291712,0.0
Height,LRT,LD2MAF,115463.30135512934,0.0
Height,LRT,S-LD2MAF,98988.1251793385,0.0
Height,LRT,LD2,369356.399053473,0.0
Height,LRT,S-LD2,299370.33346506744,0.0
Hair Color,hg2,LDSC,0.1431337567698944,0.02314014834187916
Hair Color,hg2,S-LDSC,0.15876931722714666,0.02444334954005167
Hair Color,hg2,LD2MAF,0.1488034970686869,0.022219155367373913
Hair Color,hg2,S-LD2MAF,0.16145699772562117,0.02326988567969569
Hair Color,hg2,LD2,0.16499395697453492,0.031603879194894546
Hair Color,hg2,S-LD2,0.15037964662944847,0.034447491977400095
Hair Color,Intercept,LDSC,1.2978477333904166,0.11518724781974302
Hair Color,Intercept,S-LDSC,1.2609722217961248,0.09404853618217522
Hair Color,Intercept,LD2MAF,1.2823614855537502,0.109007959714893
Hair Color,Intercept,S-LD2MAF,1.2648898063270837,0.08854233950244146
Hair Color,Intercept,LD2,1.3517433500274774,0.12445066566988731
Hair Color,Intercept,S-LD2,1.310680898931098,0.1171284203580804
Hair Color,Ratio,LDSC,0.2898273922332543,0.112085525292085
Hair Color,Ratio,S-LDSC,0.25394485171167985,0.09151602959927625
Hair Color,Ratio,LD2MAF,0.2717627079453045,0.10491621497745916
Hair Color,Ratio,S-LD2MAF,0.25494684919006805,0.08521879640846228
Hair Color,Ratio,LD2,0.35452072825866354,0.12543333263334566
Hair Color,Ratio,S-LD2,0.3131340465612357,0.11805327060736114
Hair Color,LRT,LDSC,13380.262685895956,0.0
Hair Color,LRT,S-LDSC,12340.946287016995,0.0
Hair Color,LRT,LD2MAF,13146.282818768086,0.0
Hair Color,LRT,S-LD2MAF,12637.716208863043,0.0
Hair Color,LRT,LD2,46377.19529768673,0.0
Hair Color,LRT,S-LD2,43382.715310036554,0.0
Age at Menopause,hg2,LDSC,0.08819517182663222,0.009881102747484152
Age at Menopause,hg2,S-LDSC,0.10585861823416562,0.011560502085221318
Age at Menopause,hg2,LD2MAF,0.08950800546289119,0.010107018270711964
Age at Menopause,hg2,S-LD2MAF,0.10546991711437496,0.0115229131804563
Age at Menopause,hg2,LD2,0.10621050844988855,0.010599091973986275
Age at Menopause,hg2,S-LD2,0.10821473490187805,0.011576276887130213
Age at Menopause,Intercept,LDSC,1.0450508996428056,0.01469280761256068
Age at Menopause,Intercept,S-LDSC,1.043951740630582,0.014089291189977312
Age at Menopause,Intercept,LD2MAF,1.04384425566795,0.014632010999380328
Age at Menopause,Intercept,S-LD2MAF,1.0460687489617257,0.014117337485342217
Age at Menopause,Intercept,LD2,1.0418075027868576,0.011473711554765453
Age at Menopause,Intercept,S-LD2,1.0379380161786627,0.011088408946407424
Age at Menopause,Ratio,LDSC,0.23205786620382937,0.07568287448525356
Age at Menopause,Ratio,S-LDSC,0.2263960814888144,0.0725741522543085
Age at Menopause,Ratio,LD2MAF,0.2259131434310862,0.0753933109190539
Age at Menopause,Ratio,S-LD2MAF,0.23737513006724265,0.07274138971237078
Age at Menopause,Ratio,LD2,0.24033769147192444,0.06595862378448317
Age at Menopause,Ratio,S-LD2,0.2180932755991005,0.06374364481568454
Age at Menopause,LRT,LDSC,458.0509049749817,0.0
Age at Menopause,LRT,S-LDSC,449.2694723024033,0.0
Age at Menopause,LRT,LD2MAF,451.73022239876445,0.0
Age at Menopause,LRT,S-LD2MAF,469.54958675534,0.0
Age at Menopause,LRT,LD2,1245.3306691937032,0.0
Age at Menopause,LRT,S-LD2,1153.8463883795193,0.0
Red Blood Cell Distribution Width,hg2,LDSC,0.20854084557474334,0.016826927494621474
Red Blood Cell Distribution Width,hg2,S-LDSC,0.22855384390571085,0.015330823927868269
Red Blood Cell Distribution Width,hg2,LD2MAF,0.20907481860048377,0.016853830588790433
Red Blood Cell Distribution Width,hg2,S-LD2MAF,0.22596594310956253,0.014790778332827104
Red Blood Cell Distribution Width,hg2,LD2,0.23794312992420946,0.01747731214811804
Red Blood Cell Distribution Width,hg2,S-LD2,0.2330284163751117,0.01552723758837837
Red Blood Cell Distribution Width,Intercept,LDSC,1.1589288218335212,0.04057391403160375
Red Blood Cell Distribution Width,Intercept,S-LDSC,1.138574356059769,0.033618931350013675
Red Blood Cell Distribution Width,Intercept,LD2MAF,1.1543188654436956,0.03997094136691548
Red Blood Cell Distribution Width,Intercept,S-LD2MAF,1.1447927351036302,0.0330336920949812
Red Blood Cell Distribution Width,Intercept,LD2,1.187026138739063,0.03034523791105517
Red Blood Cell Distribution Width,Intercept,S-LD2,1.1547207701012256,0.02575166141599207
Red Blood Cell Distribution Width,Ratio,LDSC,0.12440944530854453,0.03176125060535571
Red Blood Cell Distribution Width,Ratio,S-LDSC,0.10847597416561457,0.026316891756124915
Red Blood Cell Distribution Width,Ratio,LD2MAF,0.12216483459223196,0.03164255664105208
Red Blood Cell Distribution Width,Ratio,S-LD2MAF,0.1146235781557483,0.026150759462565534
Red Blood Cell Distribution Width,Ratio,LD2,0.15925055617178385,0.025838612971863177
Red Blood Cell Distribution Width,Ratio,S-LD2,0.13174291495331295,0.02192723664453037
Red Blood Cell Distribution Width,LRT,LDSC,10300.07895045128,0.0
Red Blood Cell Distribution Width,LRT,S-LDSC,9241.556043986406,0.0
Red Blood Cell Distribution Width,LRT,LD2MAF,10042.85796422587,0.0
Red Blood Cell Distribution Width,LRT,S-LD2MAF,9550.966545270814,0.0
Red Blood Cell Distribution Width,LRT,LD2,34304.42287797923,0.0
Red Blood Cell Distribution Width,LRT,S-LD2,29741.614866248565,0.0
Neuroticism,hg2,LDSC,0.10807010446160564,0.004662563534375566
Neuroticism,hg2,S-LDSC,0.118343423623455,0.004499884429777595
Neuroticism,hg2,LD2MAF,0.10751629536848523,0.004401626510293527
Neuroticism,hg2,S-LD2MAF,0.11688452413162126,0.004440517189133585
Neuroticism,hg2,LD2,0.12453591004473351,0.004758258180064716
Neuroticism,hg2,S-LD2,0.12071924757389145,0.004709777914794525
Neuroticism,Intercept,LDSC,1.0625488128886433,0.010738954932078907
Neuroticism,Intercept,S-LDSC,1.0694063837336096,0.011626036513497699
Neuroticism,Intercept,LD2MAF,1.0628204995177204,0.010332720962334533
Neuroticism,Intercept,S-LD2MAF,1.076263903385932,0.011828511221242129
Neuroticism,Intercept,LD2,1.0656638506697518,0.009857217635804917
Neuroticism,Intercept,S-LD2,1.0624100961477314,0.011348135033522505
Neuroticism,Ratio,LDSC,0.11539792769798485,0.019812576571360707
Neuroticism,Ratio,S-LDSC,0.1280496380663348,0.02144917639583741
Neuroticism,Ratio,LD2MAF,0.11707462635039322,0.019256444236120076
Neuroticism,Ratio,S-LD2MAF,0.142128255290487,0.022044054761419497
Neuroticism,Ratio,LD2,0.13759755217675398,0.02065564239876482
Neuroticism,Ratio,S-LD2,0.13077936145160535,0.0237798360354651
Neuroticism,LRT,LDSC,1803.8941662901489,0.0
Neuroticism,LRT,S-LDSC,1970.668602240592,0.0
Neuroticism,LRT,LD2MAF,1808.7951155242336,0.0
Neuroticism,LRT,S-LD2MAF,2128.916038010473,0.0
Neuroticism,LRT,LD2,5338.454052740824,0.0
Neuroticism,LRT,S-LD2,5115.563324092189,0.0
Morning Person,hg2,LDSC,0.10109549011419076,0.00470287882673855
Morning Person,hg2,S-LDSC,0.10972221097999353,0.004975369080450308
Morning Person,hg2,LD2MAF,0.101624780469829,0.004633481299020533
Morning Person,hg2,S-LD2MAF,0.10955846809720456,0.004893418972496731
Morning Person,hg2,LD2,0.10969034997612698,0.005196915175210782
Morning Person,hg2,S-LD2,0.1029427733007451,0.00507010334918246
Morning Person,Intercept,LDSC,1.0481780299172734,0.013590662224130141
Morning Person,Intercept,S-LDSC,1.04742942039149,0.01419433448160049
Morning Person,Intercept,LD2MAF,1.0468888194388222,0.01313089910426499
Morning Person,Intercept,S-LD2MAF,1.0536897328625499,0.013445226425920763
Morning Person,Intercept,LD2,1.0759561613203754,0.013203215853373659
Morning Person,Intercept,S-LD2,1.0679704406621857,0.014769210685521382
Morning Person,Ratio,LDSC,0.08977978536876867,0.025326206563385592
Morning Person,Ratio,S-LDSC,0.08838475110387131,0.026451150148705097
Morning Person,Ratio,LD2MAF,0.08757472993255518,0.024524715200560893
Morning Person,Ratio,S-LD2MAF,0.1002768658256273,0.025111787569494035
Morning Person,Ratio,LD2,0.15987037327465128,0.027789754118846082
Morning Person,Ratio,S-LD2,0.14306225500881406,0.0310858156102326
Morning Person,LRT,LDSC,1417.6723775789142,0.0
Morning Person,LRT,S-LDSC,1398.0540245624143,0.0
Morning Person,LRT,LD2MAF,1389.7730234825285,0.0
Morning Person,LRT,S-LD2MAF,1566.5431717738684,0.0
Morning Person,LRT,LD2,6060.26599814638,0.0
Morning Person,LRT,S-LD2,5532.599489050452,0.0
Years of Education,hg2,LDSC,0.12711840435398142,0.004753622157912071
Years of Education,hg2,S-LDSC,0.140210672468927,0.004817973214232885
Years of Education,hg2,LD2MAF,0.12759850792166105,0.004454693059092195
Years of Education,hg2,S-LD2MAF,0.13876554111435835,0.004571368418691999
Years of Education,hg2,LD2,0.14014270787423175,0.0047378719429982665
Years of Education,hg2,S-LD2,0.13278203012969408,0.004846549180839979
Years of Education,Intercept,LDSC,1.1159556503278367,0.015091890486723276
Years of Education,Intercept,S-LDSC,1.1044775924538404,0.014937036880417323
Years of Education,Intercept,LD2MAF,1.1138174218490933,0.014575495399813303
Years of Education,Intercept,S-LD2MAF,1.1134863687674534,0.013848599160952756
Years of Education,Intercept,LD2,1.1470969028874158,0.012038245976286955
Years of Education,Intercept,S-LD2,1.1262378815470873,0.011974725109789598
Years of Education,Ratio,LDSC,0.14367581560368806,0.018699732773271922
